FONTE,NATUREZA DA OCORRÊNCIA,HISTÓRICO DA OCORRÊNCIA
CIOPS,MORTE A BALA 09H44,"LOCAL: RUA SABIAGUABA, SABIAGUABA.  VITIMA: SEXO MASCULINO, SEM IDENTIFICAÇÃO. SUSPEITOS NÃO IDENTIFICADOS."
CIOPS,MORTE A BALA 18H43,"LOCAL: RUA DO GELO, EDSON QUEIROZ.  VÍTIMA: PAULO H. S. C. SUSPEITO NÃO IDENTIFICADO."
CIOPS,MORTE A BALA 20H33,"LOCAL: RUA SOUSA CARVALHO, BOM SUCESSO.  VÍTIMA: ANTÔNIO A. S. SUSPEITO NÃO IDENTIFICADO."
CIOPS,PORTE ILEGAL DE ARMA (FLAGRANTE) 16H55,"LOCAL: RUA GUSTAVO, JOAQUIM TÁVORA.SUSPEITOS: 1o FRANCISCO FABIO BEZERRA FILHO, 20 ANOS. 2oWASHINGTON BORGES ANDRADE, 28 ANOS.
ARMAAPREENDIDA:REVÓLVERCALIBRE38.VEÍCULORECUPERADO:DOBLOESSENCE1.8,PRATA,14/15,PUX8974-CE.VÍTIMA:BRENO.G.F.OS
SUSPEITOS FORAM CONDUZIDOS A DELEGACIA COMPETENTE."
CIOPS,APREENSÃO DE ARMA 21H25,"LOCAL: RUA DACOTA, VICENTE PINZON.  ARMA APREENDIDA: REVÓLVER CALIBRE 38. ARMA APRESENTADA NA DELEGACIA COMPETENTE"
CIOPS,TRÁFICO DE ENTORPECENTES (ATO INFRACIONAL) 02H12,"LOCAL:RUAANTÔNIOBOTELHO,SERRINHA.SUSPEITO:MENORDEIDADE.MATERIALAPREENDIDO:CRACKECOCAÍNA.SUSPEITOCONDUZIDOA DELEGACIA COMPETENTE"
CIOPS,CUMPRIMENTO DE MANDADO JUDICIAL  10H48,"LOCAL:AV.BENJAMINBRASIL,MARAPONGA.SUSPEITO:CARLOSAUGUSTOPESSOADEOLIVEIRA,26ANOS,FOICONDUZIDOÀDELEGACIA COMPETENTE."
CIOPS,TRÁFICO DE ENTORPECENTES  (ATO INFRACIONAL) 14H20,"LOCAL: AV. GENERAL OSÓRIO DE PAIVA, CANINDEZINHO. SUSPEITO: MENOR DE IDADE. MATERIAL APREENDIDO: MACONHA. CONDUZIDO A DELEGACIA COMPETENTE."
CIOPS,TRÁFICO DE ENTORPECENTES  (ATO INFRACIONAL) 14H43,"LOCAL:RUADOCANAL,SÃOJOÃODOTAUAPE..SUSPEITO:MENORDEIDADE.MATERIALAPREENDIDO:MACONHA.SUSPEITOCONDUZIDOA DELAGACIA COMPETENTE."
CIOPS,TRÁFICO DE ENTORPECENTES  (FLAGRANTE) 17H34,"LOCAL:RUAFRANCISCOSILVESTREDEFREITAS,PREFEITOJOSÉWALTER.SUSPEITOS:1o–PAULOHENRIQUEALVESJUCA,21ANOS.2o–QUESEDE
FIRMINO CAMPELO, 20 ANOS. MATERIAL APREENDIDO: MACONHA. OS SUSPEITOS FORAM CONDUZIDOS A DELAGACIA COMPETENTE."
CIOPS,TRÁFICO DE ENTORPECENTES  (FLAGRANTE) 20H34,"LOCAL: RUA PORTO ALEGRE,AUTRAN NUNES.SUSPEITO: JONATHAN DE SOUZA BATISTA, 19 ANOS. MATERIAL APREENDIDO: CRACK. . CONDUZIDO A DELAGACIA COMPETENTE."
